update_id,case_id,status,note,updated_by,timestamp
U0001,C0775,Assigned,Pending review,officer_2,2025-11-01 00:00:00
U0002,C0721,New,Pending review,system,2025-11-01 00:01:00
U0003,C0299,Assigned,Pending review,officer_2,2025-11-01 00:02:00
U0004,C0069,Assigned,Case created,officer_1,2025-11-01 00:03:00
U0005,C0055,In Progress,Verification complete,officer_2,2025-11-01 00:04:00
U0006,C0348,Assigned,Pending review,officer_2,2025-11-01 00:05:00
U0007,C0603,Resolved,Field visit done,officer_1,2025-11-01 00:06:00
U0008,C0368,Assigned,Case created,system,2025-11-01 00:07:00
U0009,C0751,Resolved,Case created,officer_2,2025-11-01 00:08:00
U0010,C0171,New,Field visit done,officer_2,2025-11-01 00:09:00
U0011,C0465,In Progress,Verification complete,officer_1,2025-11-01 00:10:00
U0012,C0524,In Progress,Pending review,officer_2,2025-11-01 00:11:00
U0013,C0620,New,Case created,system,2025-11-01 00:12:00
U0014,C0412,New,Verification complete,system,2025-11-01 00:13:00
U0015,C0632,Assigned,Case created,system,2025-11-01 00:14:00
U0016,C0660,New,Field visit done,officer_1,2025-11-01 00:15:00
U0017,C0386,Resolved,Pending review,officer_1,2025-11-01 00:16:00
U0018,C0133,Assigned,Verification complete,officer_2,2025-11-01 00:17:00
U0019,C0383,In Progress,Case created,system,2025-11-01 00:18:00
U0020,C0128,In Progress,Pending review,system,2025-11-01 00:19:00
U0021,C0262,Resolved,Pending review,officer_1,2025-11-01 00:20:00
U0022,C0239,New,Case created,officer_2,2025-11-01 00:21:00
U0023,C0748,New,Pending review,officer_1,2025-11-01 00:22:00
U0024,C0611,In Progress,Pending review,officer_1,2025-11-01 00:23:00
U0025,C0708,Assigned,Case created,officer_2,2025-11-01 00:24:00
U0026,C0558,Resolved,Pending review,system,2025-11-01 00:25:00
U0027,C0095,New,Field visit done,officer_2,2025-11-01 00:26:00
U0028,C0667,In Progress,Field visit done,officer_2,2025-11-01 00:27:00
U0029,C0025,New,Pending review,officer_1,2025-11-01 00:28:00
U0030,C0762,New,Case created,system,2025-11-01 00:29:00
U0031,C0716,Assigned,Pending review,officer_2,2025-11-01 00:30:00
U0032,C0819,Assigned,Field visit done,system,2025-11-01 00:31:00
U0033,C0396,In Progress,Field visit done,system,2025-11-01 00:32:00
U0034,C0055,In Progress,Verification complete,officer_1,2025-11-01 00:33:00
U0035,C0808,New,Field visit done,system,2025-11-01 00:34:00
U0036,C0237,New,Verification complete,officer_1,2025-11-01 00:35:00
U0037,C0069,In Progress,Field visit done,officer_2,2025-11-01 00:36:00
U0038,C0432,New,Verification complete,officer_1,2025-11-01 00:37:00
U0039,C0711,In Progress,Verification complete,officer_1,2025-11-01 00:38:00
U0040,C0107,New,Pending review,officer_1,2025-11-01 00:39:00
U0041,C0338,In Progress,Verification complete,officer_2,2025-11-01 00:40:00
U0042,C0090,In Progress,Pending review,system,2025-11-01 00:41:00
U0043,C0093,In Progress,Case created,officer_2,2025-11-01 00:42:00
U0044,C0523,In Progress,Verification complete,system,2025-11-01 00:43:00
U0045,C0791,New,Pending review,officer_2,2025-11-01 00:44:00
U0046,C0865,Assigned,Case created,system,2025-11-01 00:45:00
U0047,C0803,In Progress,Verification complete,system,2025-11-01 00:46:00
U0048,C0179,In Progress,Case created,officer_1,2025-11-01 00:47:00
U0049,C0396,Assigned,Pending review,officer_2,2025-11-01 00:48:00
U0050,C0165,Resolved,Field visit done,system,2025-11-01 00:49:00
U0051,C0181,Assigned,Case created,officer_1,2025-11-01 00:50:00
U0052,C0348,Assigned,Verification complete,system,2025-11-01 00:51:00
U0053,C0556,In Progress,Verification complete,system,2025-11-01 00:52:00
U0054,C0565,Assigned,Field visit done,system,2025-11-01 00:53:00
U0055,C0236,Resolved,Verification complete,officer_2,2025-11-01 00:54:00
U0056,C0427,New,Case created,officer_2,2025-11-01 00:55:00
U0057,C0402,New,Case created,officer_2,2025-11-01 00:56:00
U0058,C0047,Assigned,Field visit done,system,2025-11-01 00:57:00
